名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,人均价格,lon,lat,x,y
鼎好匠骨,山东,济南,济南,0531,0531-88028999;156****3143,山师东路,山师东路7号院西头,美食,鲁菜,73,117.043915,36.658741,13029269.0182511,4391645.83181116
东出小馆,山东,济南,济南,0531,0531-82863767,阳光舜城,中区阳光舜城商业街北侧I01（近阳光舜城派出所）,美食,鲁菜,81,117.027161,36.612053,13027403.9715024,4385169.05280946
东方渔港饺子城,山东,济南,章丘,0531,83319093,银座商城,桃花山街丽园花苑西门对面,美食,鲁菜,95,117.542168,36.698704,13084734.2884974,4397192.80778677
东源酒店,山东,济南,济南,0531,89262618;89262619,解放路,解放路30号(公交总公司西行50米),美食,鲁菜,115,117.062386,36.665958,13031325.2005656,4392647.35839941
纺织酒家,山东,济南,济南,0531,87036999;55689999,西市场,经七路399号,美食,鲁菜,101,116.98996,36.65564,13023262.7751254,4391215.52478359
风波庄,山东,济南,济南,0531,88160227;156****6059,洪家楼,洪楼商业街103号,美食,鲁菜,77,117.06218,36.688156,13031302.2687505,4395728.43597996
逢贺食府,山东,济南,济南,0531,0531-88088968,天桥区,梓东大道济南农商银行(桑梓店支行)北侧约110米,美食,鲁菜,126,116.914055,36.790333,13014813.0691767,4409922.06680483
福地小海鲜家常菜,山东,济南,济南,0531,156****9621;88033990,解放东路,解放东路61号,美食,鲁菜,69,117.088379,36.665314,13034218.7280898,4392557.98460661
福谷堂煎饼卷大葱,山东,济南,济南,0531,88817755,高新会展中心,康虹路2032号,美食,鲁菜,72,117.112587,36.688805,13036913.5503229,4395818.53041755
福利来酒店,山东,济南,济南,0531,0531-86917108;155****1716,泉城广场/银座新天地,泺源大街68号,美食,鲁菜,130,117.027405,36.66008,13027431.1334581,4391831.64210629
富贵居,山东,济南,济南,0531,86983098,大明湖,解放路和下河涯街交叉口南行20米路东,美食,鲁菜,83,117.034744,36.665779,13028248.1072011,4392622.5168509
富源酒店,山东,济南,济南,0531,85066818,北园大街,北园大街557-5号,美食,鲁菜,104,117.009552,36.684875,13025443.746589,4395272.97789545
关帝庙蜜脂园,山东,济南,济南,0531,86011251,趵突泉,共青团路3号五龙潭公园西侧关帝庙,美食,鲁菜,141,117.01371,36.664574,13025906.6130317,4392455.28893574
桂圆全牛馆,山东,济南,莱芜,0531,150****6463,汶河大道,高新区上海明珠花园对面,美食,鲁菜,71,117.703552,36.200806,13102699.4731995,4328287.26288721
好口味鲁菜馆,山东,济南,济南,0531,86251629,历城区,工业北路283号3号楼东单元口,美食,鲁菜,87,117.072723,36.712849,13032475.9101419,4399156.86414496
好邻居饭店,山东,济南,济南,0531,132****8511;136****7556,领秀城贵和购物中心,河东河村商业街东段（春燕超市对面）,美食,鲁菜,93,117.005653,36.600822,13025009.7118944,4383611.62091126
和顺楼,山东,济南,济南,0531,88857777,王舍人/新东站,鲍山街道工业北路21号(济钢宾馆院内),美食,鲁菜,319,117.175911,36.718021,13043962.7457579,4399875.09506596
荷花园大酒店,山东,济南,济南,0531,85819098;85819068,北园大街,生产路5号（银座家居北园店南侧）,美食,鲁菜,106,117.014442,36.681152,13025988.098899,4394756.18629497
恒福苑酒家,山东,济南,济南,0531,187****8900,领秀城贵和购物中心,望岳路融汇爱都西南侧约40米,美食,鲁菜,75,116.997231,36.5826,13024072.179143,4381085.21117932
鸿腾三饼鲁菜坊,山东,济南,济南,0531,67813788,王舍人/新东站,坝王路王舍人交管所北邻(近王舍人交管所),美食,鲁菜,128,117.156189,36.724606,13041767.3027605,4400789.61799048
华联炒鸡店,山东,济南,莱芜,0531,139****2776,孙故事步行街,区高新区孙故事步行街058号,美食,鲁菜,67,117.699188,36.202816,13102213.6749417,4328564.54709753
华舜酒店,山东,济南,长清区,0531,87488889,长清区,金庄村水龙王工业园（104国道夹河北桥南）,美食,鲁菜,78,116.886439,36.471449,13011738.870119,4365687.44729997
华誉食府,山东,济南,济南,0531,87989877;151****2888,省肿瘤医院,腊山街道经十西路1718号,美食,鲁菜,133,116.864967,36.645634,13009348.6180127,4389827.17080891
环联鲁菜皇大酒店,山东,济南,济南,0531,89029999;89029866,洪家楼,二环东路1599号七里堡商贸中心A座三层、四层,美食,鲁菜,84,117.066025,36.690933,13031730.2921926,4396113.94555622
皇家花园酒店·鲁菜·海鲜·融合菜,山东,济南,济南,0531,0531-81816666,伟东新都,英雄山路207号,美食,鲁菜,509,117.003899,36.608444,13024814.4575076,4384668.5586905
黄台宾馆,山东,济南,济南,0531,88600034,小清河/盖世物流,历山北路18号黄台宾馆,美食,鲁菜,145,117.04435,36.705925,13029317.4422296,4398195.41026646
黄台大酒店中餐厅,山东,济南,济南,0531,0531-88966988,全福立交桥,将军路122号黄台大酒店1层,美食,鲁菜,74,117.061928,36.70982,13031274.2162388,4398736.25212776
回头客渔馆,山东,济南,济南,0531,130****5858,蓝翔路,奎盛街5号,美食,鲁菜,82,116.993698,36.722202,13023678.887382,4400455.74206817
会仙楼饭庄,山东,济南,济南,0531,0531-86092299,芙蓉街,芙蓉街103号,美食,鲁菜,97,117.023018,36.666344,13026942.774852,4392700.92752187
惠仙鱼头老店,山东,济南,莱芜,0531,0531-76559160,雪野旅游区,莱明路雪野水库坝梯南300米路东,美食,鲁菜,117,117.581924,36.399002,13089159.9061733,4355663.23913687
济南富力凯悦酒店·济南府中餐厅,山东,济南,济南,0531,0531-88281234,经四路万达广场,魏家庄街道经四路187号富力凯悦酒店2楼(近万达广场),美食,鲁菜,103,116.999878,36.662422,13024366.8418351,4392156.64443326
济南鲁能信谊酒店-餐厅,山东,济南,济南,0531,82886888,经四路万达广场,经四路185号,美食,鲁菜,76,117.00042,36.662128,13024427.1769991,4392115.84513555
济南玉泉森信大酒店-中餐厅,山东,济南,济南,0531,0531-85108888,泉城广场/银座新天地,泺源大街68号玉泉森信大酒店(近银座商城),美食,鲁菜,127,117.028152,36.659874,13027514.2891178,4391803.05569668
煎饼卷大葱,山东,济南,济南,0531,186****2512;131****7016,西市场,经三纬七路交汇处向西30米路北,美食,鲁菜,68,116.981651,36.66077,13022337.8214764,4391927.39325885
胶东人家,山东,济南,济南,0531,86428626;86401628,解放路,建筑新村街道历山路80号家乐福对过,美食,鲁菜,79,117.043762,36.668446,13029251.9863691,4392992.64802846
金春禧,山东,济南,济南,0531,0531-82901080;0531-87950888,中华小吃城,四里村街道英雄山路12-2号(近银座商城),美食,鲁菜,131,116.997551,36.642502,13024107.8,4389392.636
金春禧,山东,济南,济南,0531,81609777;67816998,阳光100,阳光新路19号美乐汇3楼中厅,美食,鲁菜,85,116.982346,36.63776,13022415.1885225,4388734.76321968
金房子水饺城,山东,济南,济南,0531,0531-58591358,张庄路/森林公园,段店北路街道张庄路162号（森林公园南门东60米路南）,美食,鲁菜,107,116.943275,36.66243,13018065.8246977,4392157.75462041
金陵轩鲁菜馆,山东,济南,济南,0531,86992605,解放路,山大南路71-19号（近山大路）,美食,鲁菜,143,117.054062,36.672523,13030398.5771242,4393558.48639905
金三杯酒家,山东,济南,济南,0531,82950890,大明湖,趵突泉北路12号三联大厦11楼,美食,鲁菜,72,117.016525,36.665619,13026219.9773983,4392600.31216371
金三杯酒家,山东,济南,济南,0531,0531-82597777,阳光舜城,阳光舜城中11区（中国银行东邻）,美食,鲁菜,80,117.02858,36.609917,13027561.9338598,4384872.83068489
金星佳肴店,山东,济南,章丘,0531,138****8744,枣园,枣园大街幸福花苑西侧约220米,美食,鲁菜,94,117.461685,36.731888,13075774.9619199,4401801.03138435
金鹰鼎酒店,山东,济南,济南,0531,86920704;156****1555,齐鲁医院,文化西路119号,美食,鲁菜,116,117.011879,36.655968,13025702.7870441,4391261.0385415
锦华大酒店,山东,济南,长清区,0531,87221777,长清城区,马山路78号,美食,鲁菜,102,116.744408,36.556297,12995928.0515221,4377439.45350471
锦一味炒鸡,山东,济南,济南,0531,158****2649,北园大街,北关北路二号,美食,鲁菜,77,117.019516,36.682091,13026552.9339953,4394886.52702308
婧瑞饭庄,山东,济南,长清区,0531,130****3582,灵岩寺风景区,灵岩寺旅游区西南（灵岩南路西),美食,鲁菜,125,116.97583,36.35981,13021689.8307205,4350244.29054353
聚丰德饭店,山东,济南,济南,0531,86162888,大观园,经五路11号,美食,鲁菜,69,116.998055,36.659897,13024163.9064034,4391806.24737939
孔家酒楼,山东,济南,莱芜,0531,76594068,雪野旅游区,莱明路雪野水库对面,美食,鲁菜,73,117.570541,36.40649,13087892.7564096,4356698.89105342
孔膳堂饭店,山东,济南,济南,0531,82970611;82988808,济大/国际会展中心,英雄山路24号,美食,鲁菜,134,116.997444,36.636555,13024095.8901945,4388567.59614086
莱芜人家,山东,济南,济南,0531,88902699;155****8766,华龙路沿线,七里河路17号历城房管局北侧,美食,鲁菜,81,117.083527,36.684879,13033678.6059204,4395273.53315102
老陈记·陈氏家宴,山东,济南,济南,0531,85067088,火车站/堤口路,堤口路139号,美食,鲁菜,105,116.978012,36.675247,13021932.7298494,4393936.56141491
老济南菜馆,山东,济南,济南,0531,130****8742,北园大街,七一东路32号,美食,鲁菜,142,117.040283,36.69397,13028864.7058606,4396535.56487437
老济南的味道特色菜馆,山东,济南,济南,0531,139****5556,大明湖,泉城路街道辘轳把子街20号,美食,鲁菜,71,117.023941,36.669975,13027045.522742,4393204.85125265
老家草鸡店,山东,济南,济南,0531,82777305,领秀城贵和购物中心,二环南路十六里河派出所西190米,美食,鲁菜,86,117.004555,36.597294,13024887.4830935,4383122.431
老马井全羊馆,山东,济南,济南,0531,152****8999,华龙路沿线,化纤厂路凯旋公馆对面（历人民法院北200米）,美食,鲁菜,92,117.096832,36.686962,13035159.7117455,4395562.68641222
老牌坊鲁菜名店,山东,济南,济南,0531,0531-82070319,体育中心,民生大街68号,美食,鲁菜,118,117.007576,36.649647,13025223.7792752,4390383.96150505
老牌坊鲁菜名店,山东,济南,济南,0531,86054567;178****7543,大观园,济南大观园北区2号,美食,鲁菜,104,116.99617,36.661427,13023954.0691632,4392018.56580615
老牌坊鲁菜名店,山东,济南,济南,0531,67893939,伟东新都,十六里河街道二环南路5266号山景园小区对过(山东医专东200米),美食,鲁菜,75,116.99688,36.612534,13024033.1060017,4385235.75939165
老牌坊鲁菜名店,山东,济南,济南,0531,0531-82736363;0531-82739393,解放路,燕山街道解放路26号(如家酒店西邻),美食,鲁菜,129,117.062866,36.666012,13031378.6339212,4392654.85250919
老牌坊鲁菜名店,山东,济南,济南,0531,83165559,北园大街,北园大街389号齐鲁国际美食广场B-16号,美食,鲁菜,67,117.022652,36.686302,13026902.0319184,4395471.06715253
老清真鲁菜馆,山东,济南,济南,0531,132****7466,华龙路沿线,华龙路中国电信西80米,美食,鲁菜,78,117.084412,36.680996,13033777.1236698,4394734.53239842
老孙家滕州回锅全羊,山东,济南,济南,0531,156****2356,华龙路沿线,华信路6号,美食,鲁菜,133,117.085182,36.68705,13033862.8396777,4395574.90237292
老章丘菜馆,山东,济南,章丘,0531,132****7627;0531-81291399,眼明泉,明水街道明堂路与铁道北路交叉口明泉馨居1号楼3单元,美食,鲁菜,84,117.5224,36.715199,13082533.7248034,4399483.20050707
老正兴菜馆,山东,济南,济南,0531,86555618,历下区,东领鉴筑,美食,鲁菜,109,117.081116,36.669899,13033410.2146281,4393194.3034454
乐沃酒家,山东,济南,济南,0531,0531-61317166;61317177,南部山区,沃营地内,美食,鲁菜,145,117.012583,36.508796,13025781.1559656,4370858.66516565
临沂辣子鸡,山东,济南,济南,0531,151****6683,杆石桥,复兴大街1号院3号楼二层,美食,鲁菜,74,117.003464,36.656586,13024766.0335291,4391346.79364877
临沂糁汤,山东,济南,济南,0531,,洪家楼,七里河路5号,美食,鲁菜,82,117.076416,36.68063,13032887.0130214,4394683.72919813
临沂王小二小胡同炒鸡店,山东,济南,济南,0531,81181222;133****8561,窑头路,窑头路2-44号(燕山银座东400米路南),美食,鲁菜,97,117.082336,36.654362,13033546.0244069,4391038.18949105
临沂小胡同炒鸡,山东,济南,济南,0531,133****8830,大观园,经三路纬六路7号南楼底层东3户(近重庆烂豆花火锅),美食,鲁菜,117,116.986809,36.661758,13022912.0074099,4392064.49930208
六子炒鸡店,山东,济南,莱芜,0531,0531-76210612;137****8175,莱芜区,凤城街道万福南路南首(汽车站向西丁字路口向北路西),美食,鲁菜,103,117.688858,36.199368,13101063.7446018,4328088.8917861
鲁泉大酒店,山东,济南,济南,0531,0531-87582588;87585288,世购广场,腊山街道经十西路176号(106医院),美食,鲁菜,76,116.913979,36.650505,13014804.6088954,4390503.00997889
鲁西南老厨子·特色鲁菜,山东,济南,济南,0531,87901495,西市场,五沟街道发祥巷小区二区3号楼29（距离火车站1公里）,美食,鲁菜,127,116.987793,36.665112,13023021.5457888,4392529.95136604
鹿家炒鸡店,山东,济南,莱芜,0531,76506789;76286000,莱芜区,大桥北路22号,美食,鲁菜,68,117.69664,36.214272,13101930.0328792,4330145.06510415
梅飞酒家,山东,济南,济南,0531,0531-83179985,全福立交桥,桑园路9-1号,美食,鲁菜,79,117.070938,36.700752,13032277.2048508,4397477.15355368
梅子炒鸡店,山东,济南,莱芜,0531,78858606;175****8903,青草河美食街,万福北路吕花园美食街,美食,鲁菜,131,117.689697,36.221519,13101157.1416546,4331145.0112418
明湖楼·精致鲁菜,山东,济南,济南,0531,0531-86038882;186****5729,大明湖,明湖北路271号大明湖公园北门内,美食,鲁菜,85,117.024834,36.677738,13027144.9310473,4394282.30913263
牡丹园生态餐厅,山东,济南,莱芜,0531,0531-76171678,莱芜区,张家洼街道胜利北路北首（通达驾校北临）,美食,鲁菜,107,117.660065,36.224991,13097858.5225034,4331624.11305765
南四湖鱼馆,山东,济南,济南,0531,69951155,洪家楼,山大北路与二环东路交叉口西北角,美食,鲁菜,143,117.071465,36.680599,13032335.8702225,4394679.42620593
棋山水云涧炒鸡店,山东,济南,济南,0531,138****5837,钢城区,棋山后宫（棋山森林公园）,美食,鲁菜,72,117.880681,36.112193,13122417.3832843,4316069.95742766
千里雪饭庄,山东,济南,济南,0531,0531-88555569,解放路,山大路街道闵子骞路72号(农丰宾馆对面),美食,鲁菜,80,117.065163,36.670174,13031634.3347915,4393232.46990258
乾舜食府,山东,济南,济南,0531,156****7777,伟东新都,舜耕路217号,美食,鲁菜,94,117.015724,36.614731,13026130.8104862,4385540.45150375
青苹果农家乐园,山东,济南,长清区,0531,0531-87405668,长清大学城,平安街道明发路358号(华尔康兽药旁),美食,鲁菜,116,116.863014,36.565205,13009131.2110472,4378674.01809494
清荷园,山东,济南,济南,0531,76999588,莱钢医院,钢都大街鲁百商厦西200米,美食,鲁菜,102,117.853683,36.06633,13119411.9796718,4309752.12027435
泉城王小二炒鸡,山东,济南,济南,0531,88903088,洪家楼,山大北路50-1号,美食,鲁菜,77,117.06263,36.679516,13031352.3625213,4394529.10017986
泉之韵,山东,济南,济南,0531,82958888,体育中心,马鞍山路2-1号山东大厦2楼（近舜耕路）,美食,鲁菜,125,117.022301,36.641327,13026862.9587771,4389229.62084445
鹊华居·鲁菜,山东,济南,济南,0531,0531-66669866,大明湖,"大明湖路1号（距超然楼步行2分钟,百花洲、曲水亭;近芙蓉街、泉城广场、趵突泉、五龙潭;步行仅需10分钟,可负责婚宴,生日宴,家宴,商务宴请等。）",美食,鲁菜,69,117.033722,36.67371,13028134.3386815,4393723.23330119
任超炒鸡店,山东,济南,莱芜,0531,76213666;76214178,莱芜区,花园南路光明大厦南50米路西,美食,鲁菜,73,117.68264,36.208183,13100371.5600081,4329304.97221535
三岔口酒店,山东,济南,济南,0531,87279345,西市场,经六小纬六路,美食,鲁菜,134,116.985916,36.657917,13022812.5991046,4391531.48862051
三角地,山东,济南,济南,0531,86565000,北坦/大明湖西南门,顺河高架北济安街（北坦小区正对面）,美食,鲁菜,81,117.009178,36.673969,13025402.1130995,4393759.18094112
三义和酒楼,山东,济南,济南,0531,82921266,千佛山公园,历山路150号,美食,鲁菜,105,117.036629,36.647011,13028457.9444412,4390018.22181009
三元府粗菜馆,山东,济南,济南,0531,85866060,缤纷五洲,师范路13-2号,美食,鲁菜,142,116.99173,36.696007,13023459.8106241,4396818.36595784
山东国际饭店·三义和,山东,济南,济南,0531,67868888;89606688,解放路,解放路134号山东国际饭店1-2楼,美食,鲁菜,71,117.045639,36.665943,13029460.9330533,4392645.27670318
山航大厦餐厅,山东,济南,济南,0531,85698188,二环东路沿线,二环东路5746号,美食,鲁菜,86,117.073166,36.65963,13032525.2246763,4391769.19616484
善国人家,山东,济南,济南,0531,88169521;186****8051,洪家楼,东风街道工业南路103号(葡萄园北路中段百花小区南门),美食,鲁菜,92,117.076408,36.676762,13032886.1224655,4394146.84020647
膳和缘炒鸡店,山东,济南,平阴县,0531,0531-87871898,平阴商城,玫城公园南侧,美食,鲁菜,118,116.448242,36.287933,12962959.0032118,4340313.18060219
上善食府,山东,济南,长清区,0531,0531-87206851,长清大学城,蔡伦路大学城商业街济南西部创意园A座,美食,鲁菜,104,116.819099,36.554485,13004242.615609,4377188.34485455
尚膳若水百姓家宴,山东,济南,济南,0531,186****7796,济大/国际会展中心,舜玉路街道旅游路金鸡岭别墅区15号(国华东方美郡对面),美食,鲁菜,75,117.032547,36.62355,13028003.5382798,4386763.6065816
生态小院鲁菜馆,山东,济南,济南,0531,0531-86049966;156****5212,华龙路沿线,华信路6-35号统一银座往南50米,美食,鲁菜,129,117.085136,36.68729,13033857.7189811,4395608.21870043
食力天酒店,山东,济南,济南,0531,0531-83157162,张庄路/森林公园,闫千户路与段兴西路交叉口东行50米,美食,鲁菜,67,116.947731,36.659729,13018561.8643487,4391782.93424064
水岸小城故事,山东,济南,济南,0531,81785678,火车站/堤口路,官扎营街道堤口路17号（济南站北地铁站B口步行480米）,美食,鲁菜,78,116.989655,36.67878,13023228.8226807,4394426.94076427
舜港大酒店-餐厅,山东,济南,济南,0531,0531-68817777,无影山,无影山北路77号,美食,鲁菜,133,116.975761,36.700863,13021682.1496756,4397492.56508853
舜耕山庄南风阁,山东,济南,济南,0531,82951818;82955288,济大/国际会展中心,舜耕路28号（近千佛山南路）,美食,鲁菜,84,117.026421,36.63343,13027321.5950792,4388134.08374046
舜山茶人食坊,山东,济南,济南,0531,82966008,千佛山公园,千佛山东路27号,美食,鲁菜,109,117.040314,36.645653,13028868.1567648,4389829.80692875
四季厨房 鲁菜·孔府烤鸭,山东,济南,济南,0531,82826999,领秀城贵和购物中心,二环南路1577号阳明山庄9号楼,美食,鲁菜,145,117.014099,36.59795,13025949.9163137,4383213.38962819
宋记便宜坊,山东,济南,济南,0531,82742888,山水大润发,二七新村南路14号,美食,鲁菜,74,116.989944,36.630077,13023260.9940135,4387668.96182706
苏记羊肉馆,山东,济南,济南,0531,132****0658,火车站/堤口路,铁道南街18-2号,美食,鲁菜,82,116.997566,36.669674,13024109.4711724,4393163.07644551
太熟悉家常菜,山东,济南,济南,0531,187****3533,大观园,经五路159-1号,美食,鲁菜,97,116.992149,36.659351,13023506.4534907,4391730.47986445
陶然饺子城,山东,济南,济南,0531,88967282,北园大街,历山路与北园路交叉口东行300米,美食,鲁菜,117,117.04583,36.689716,13029482.195076,4395944.99708188
陶然饺子城,山东,济南,济南,0531,0531-88877989,齐鲁软件园,奥体中路与新泺大街交叉口北100米路西,美食,鲁菜,103,117.115524,36.673107,13037240.4956674,4393639.54100212
陶然饺子城,山东,济南,济南,0531,0531-88095888,华龙路沿线,东风街道华信路8号(洪腾家具广场对面),美食,鲁菜,76,117.085548,36.685638,13033903.5826113,4395378.89341801
特色餐馆,山东,济南,济南,0531,88629387,北园大街,历山北路石桥小区17号楼,美食,鲁菜,127,117.045563,36.695644,13029452.472772,4396767.96933982
天泽府,山东,济南,济南,0531,82958888,体育中心,马鞍山路2-1号,美食,鲁菜,68,117.022385,36.641331,13026872.3096144,4389230.17578596
铁道大酒店-中餐厅,山东,济南,济南,0531,0531-58980088;0531-58980000,火车站/堤口路,车站街19号(近火车站广场),美食,鲁菜,79,116.99144,36.670544,13023427.5279718,4393283.82135109
万泉菜馆,山东,济南,章丘,0531,83420393,宁家埠,宁家埠镇派出所对面,美食,鲁菜,131,117.432011,36.819593,13072471.6673501,4413990.12207109
微山湖鱼馆,山东,济南,济南,0531,87907979,西市场,小纬六路32-2号,美食,鲁菜,85,116.987465,36.657837,13022985.0329959,4391520.38740504
卫巷菜馆,山东,济南,济南,0531,86083598,恒隆广场,芙蓉巷8号,美食,鲁菜,107,117.025024,36.665668,13027166.0817506,4392607.11234426
味道枣庄辣子鸡,山东,济南,济南,0531,82615298,解放路,历山东路南段15-1号,美食,鲁菜,143,117.049446,36.664654,13029884.7263547,4392466.39112283
温州思味餐馆,山东,济南,济南,0531,82639693,泺口,标山北路3号,美食,鲁菜,72,116.99572,36.702389,13023903.9753924,4397704.44123827
五大件生态园,山东,济南,济南,0531,88880966;155****5879,华龙路沿线,舜华路街道正丰路北首(天业国际能源正丰路CNG加气站),美食,鲁菜,80,117.10939,36.691593,13036557.6619108,4396205.57033355
西苑酒家,山东,济南,济南,0531,157****3206,无影山,天发路西苑小区三区东40米,美食,鲁菜,94,116.967087,36.686775,13020716.5644125,4395536.72754215
喜食居,山东,济南,济南,0531,85821611,火车站/堤口路,顺河西街177号,美食,鲁菜,116,117.008614,36.670704,13025339.3289067,4393306.02745935
祥云酒店,山东,济南,济南,0531,0531-89006888,无影山,北村街道师范路33号,美食,鲁菜,102,116.977638,36.696224,13021891.0963598,4396848.49297537
小城故事,山东,济南,济南,0531,88285678;55585678,齐鲁软件园,舜华路1116号,美食,鲁菜,77,117.136223,36.669926,13039544.6978073,4393198.05069152
小城故事精品鲁菜,山东,济南,济南,0531,68655678,山师地区/历下大润发,历山路118号优品汇奥特莱斯购物广场地下一层,美食,鲁菜,125,117.039131,36.658436,13028736.4658072,4391603.50803603
小广寒电影艺术餐厅,山东,济南,济南,0531,67880900;81808586,大观园,经三路48号（近纬二路）,美食,鲁菜,69,116.995811,36.663265,13023914.105466,4392273.63103867
小江南生态商务会所,山东,济南,章丘,0531,0531-83205666,章丘区,明水街道济青公路百脉泉附近（近明刁路）,美食,鲁菜,73,117.535271,36.738785,13083966.5179694,4402759.05971686
小辣椒炒肉,山东,济南,济南,0531,137****9829,西市场,经三路与纬七路交叉口向西50米路北,美食,鲁菜,134,116.98185,36.660831,13022359.9740551,4391935.85825711
新世纪老店,山东,济南,长清区,0531,0531-83132999,长清城区,经十西路南环路口（龙泉街与经十西路交叉口）,美食,鲁菜,81,116.752136,36.547215,12996788.328547,4376180.92066974
信和雪野鱼头,山东,济南,济南,0531,,山师东路,山师东路21-4号,美食,鲁菜,105,117.045067,36.653465,13029397.2583045,4390913.72352023
兴泉大酒店,山东,济南,济南,0531,0531-69957808,祝甸,农干院路886号,美食,鲁菜,142,117.093346,36.695374,13034771.6520005,4396730.48440635
幸福渔村,山东,济南,济南,0531,0531-86957979,洪家楼,东关街道花园庄东路21号(林业大厦南邻),美食,鲁菜,71,117.050919,36.679714,13030048.6999647,4394556.58345035
幸福渔村,山东,济南,济南,0531,0531-85807979,无影山,师范路29号,美食,鲁菜,86,116.980423,36.695858,13022201.1211417,4396797.67971394
徐家饭庄,山东,济南,莱芜,0531,78884888,莱芜区,商场东街52号,美食,鲁菜,92,117.672211,36.200176,13099210.6090386,4328200.35437633
学林大酒店-中餐厅,山东,济南,济南,0531,82885959;82885656,山师东路,文化东路80号,美食,鲁菜,118,117.045906,36.65464,13029490.6553573,4391076.76452327
学人大厦中餐厅,山东,济南,济南,0531,0531-88563388;88363177,山大南路,山大南路27号山东大学东校区内(山大路口),美食,鲁菜,104,117.063072,36.67506,13031401.5657363,4393910.60649802
